X,Y,org.esa.sn,ShipDetect,geometry_P,Detected_x,Detected_y,Detected_l,Detected_1,Detected_w,Detected_2,style_css_,icon_url
13.0626389953738,44.2532868791566,ID00000055,target_054,POINT (12.474317051187517 43.78227839627835),"5699","4237",44.253286879156597,13.062638995373767,160.000000000000000,140.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.4820187824134,44.2309418746912,ID00000056,target_055,POINT (12.474248179267851 43.78226668898422),"1097","4841",44.230941874691212,12.482018782413425,90.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.704091661302,44.2290389111654,ID00000057,target_056,POINT (12.47427476931275 43.78227022304289),"2835","4494",44.229038911165397,12.704091661301957,120.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.4909481503611,44.3635658470404,ID00000058,target_057,POINT (12.47436561048011 43.782295481740825),"9283","4822",44.363565847040356,13.490948150361126,150.000000000000000,190.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7697896952137,44.3764269992537,ID00000059,target_058,POINT (12.474398629778248 43.78230129674199),"11495","4578",44.376426999253695,13.769789695213689,100.000000000000000,290.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.4064990180667,44.3225433596598,ID00000060,target_059,POINT (12.474356495595757 43.782290373849996),"8538","4497",44.322543359659754,13.406499018066732,180.000000000000000,200.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.5617766548722,44.2731460723008,ID00000061,target_060,POINT (12.474256693190773 43.78227181743928),"1812","5176",44.273146072300847,12.561776654872181,60.000000000000000,90.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6449711761604,44.2884753051951,ID00000062,target_061,POINT (12.474266280494126 43.782274584887396),"2497","5218",44.288475305195142,12.644971176160364,130.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.638417263621,44.294807931996,ID00000063,target_062,POINT (12.474265342290161 43.78227504901167),"2459","5296",44.294807931996026,12.638417263620982,170.000000000000000,250.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6396544033215,44.3015934238517,ID00000064,target_063,POINT (12.474265327155257 43.78227568023166),"2483","5367",44.301593423851749,12.639654403321527,150.000000000000000,150.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.057472497861,44.3521697548094,ID00000065,target_064,POINT (12.474314064696348 43.78228720900448),"5862","5307",44.352169754809367,13.057472497860971,50.000000000000000,60.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.0969197052261,44.3227964849871,ID00000066,target_065,POINT (12.474319486410275 43.7822852252259),"6111","4935",44.322796484987130,13.096919705226059,150.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.3737706369533,44.3634528738068,ID00000067,target_066,POINT (12.474351607057857 43.78229350965632),"8364","4983",44.363452873806750,13.373770636953328,110.000000000000000,220.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.374140936238,44.3635009524076,ID00000068,target_067,POINT (12.474351650171878 43.78229352017012),"8367","4983",44.363500952407570,13.374140936238033,170.000000000000000,220.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.4377514314506,44.4045693149583,ID00000069,target_068,POINT (12.474358265504293 43.782298282217354),"8948","5337",44.404569314958266,13.437751431450627,90.000000000000000,110.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6396544033215,44.3015934238517,ID00000070,target_069,POINT (12.474265327155257 43.78227568023166),"2483","5367",44.301593423851749,12.639654403321527,150.000000000000000,150.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6269724992019,44.3057888309258,ID00000071,target_070,POINT (12.474263705592389 43.782275840184504),"2392","5430",44.305788830925799,12.626972499201853,160.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6840899845334,44.3400618816098,ID00000072,target_071,POINT (12.474269715157071 43.78227988408851),"2912","5715",44.340061881609792,12.684089984533408,110.000000000000000,90.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6844286982974,44.3411795782695,ID00000073,target_072,POINT (12.47426973131696 43.782279986473156),"2917","5726",44.341179578269454,12.684428698297433,30.000000000000000,40.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6836076649114,44.3418602043064,ID00000074,target_073,POINT (12.47426961428695 43.7822800378388),"2912","5735",44.341860204306371,12.683607664911433,30.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.7445869433202,44.3430129848129,ID00000075,target_074,POINT (12.474276879194367 43.78228115669933),"3392","5658",44.343012984812873,12.744586943320192,90.000000000000000,100.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.4797816422115,44.4465041861598,ID00000076,target_075,POINT (12.474362284984368 43.7823027539098),"9361","5730",44.446504186159821,13.479781642211488,70.000000000000000,160.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.5034565273627,44.4608682361926,ID00000077,target_076,POINT (12.474364770147535 43.782304441969025),"9575","5852",44.460868236192560,13.503456527362715,90.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.5880158571631,44.3484522758597,ID00000078,target_077,POINT (12.474258020706952 43.78227903183532),"2177","5945",44.348452275859700,12.588015857163120,80.000000000000000,70.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.5755113607083,44.3682812368172,ID00000079,target_078,POINT (12.474256049369531 43.78228060705146),"2121","6176",44.368281236817168,12.575511360708278,60.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.4439495659961,44.493360997399,ID00000080,target_079,POINT (12.474356875312225 43.78230637122721),"9174","6284",44.493360997398966,13.443949565996096,70.000000000000000,160.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.5034565273627,44.4608682361926,ID00000081,target_080,POINT (12.474364770147535 43.782304441969025),"9575","5852",44.460868236192560,13.503456527362715,90.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.3425527212034,44.3908818367072,ID00000082,target_081,POINT (12.47422766327579 43.782278749610114),"347","6762",44.390881836707230,12.342552721203360,150.000000000000000,110.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.3440426916279,44.3926748418318,ID00000083,target_082,POINT (12.474227791165815 43.78227893404217),"362","6779",44.392674841831848,12.344042691627950,100.000000000000000,90.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.4527829100591,44.3896287755846,ID00000084,target_083,POINT (12.474240866790907 43.78228047320374),"1206","6585",44.389628775584605,12.452782910059080,160.000000000000000,100.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.5783901931982,44.3848475283261,ID00000085,target_084,POINT (12.474256005188487 43.78228214371202),"2179","6349",44.384847528326141,12.578390193198237,70.000000000000000,60.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.5596916175543,44.3911464546365,ID00000086,target_085,POINT (12.474253618429705 43.78228239802141),"2046","6444",44.391146454636505,12.559691617554284,150.000000000000000,160.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.5457400881188,44.4054104963299,ID00000087,target_086,POINT (12.47425160527237 43.78228345218506),"1967","6618",44.405410496329893,12.545740088118810,130.000000000000000,110.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6601988355181,44.405546674142,ID00000088,target_087,POINT (12.474265280902033 43.78228537144368),"2862","6452",44.405546674142045,12.660198835518091,120.000000000000000,100.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.6611803626729,44.4068912943863,ID00000089,target_088,POINT (12.474265373108128 43.78228551061528),"2873","6465",44.406891294386298,12.661180362672908,210.000000000000000,200.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.7237308210115,44.4208283260148,ID00000090,target_089,POINT (12.474272506454852 43.782287811938176),"3391","6524",44.420828326014842,12.723730821011481,160.000000000000000,130.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.3795372161232,44.5272741580838,ID00000091,target_090,POINT (12.474348359920574 43.782308346321955),"8738","6738",44.527274158083770,13.379537216123213,110.000000000000000,140.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
